state,municipality,county,population,latitude,longitude
MO,Seneca city,Newton County,2293,36.844515,-94.609244
MO,Seymour city,Webster County,1909,37.147424,-92.768837
MO,Shelbina city,Shelby County,1567,39.693022,-92.039652
MO,Shelbyville city,Shelby County,505,39.807328,-92.039887
MO,Sheldon city,Vernon County,436,37.658356,-94.295713
MO,Sheridan town,Worth County,141,40.517175,-94.614602
MO,Shoal Creek Drive village,Newton County,366,37.037,-94.522751
MO,Shoal Creek Estates village,Newton County,107,37.01734,-94.493404
MO,Shrewsbury city,St. Louis County,6243,38.586566,-90.328164
MO,Sibley village,Jackson County,316,39.17589,-94.200871
MO,Sikeston city,Scott County,16085,36.884997,-89.587449
MO,Silex city,Lincoln County,264,39.126974,-91.057873
MO,Skidmore city,Nodaway County,234,40.287885,-95.079503
MO,Slater city,Saline County,1802,39.223279,-93.065347
MO,Smithton city,Pettis County,506,38.680728,-93.0924
MO,Smithville city,Clay County,10785,39.396869,-94.570987
MO,South Gifford village,Macon County,23,40.027477,-92.684951
MO,South Gorin town,Scotland County,63,40.358515,-92.02543
MO,South Greenfield village,Dade County,121,37.376053,-93.840887
MO,South Lineville town,Mercer County,13,40.578578,-93.524073
MO,Southwest City town,McDonald County,969,36.517289,-94.607488
MO,Sparta city,Christian County,1946,37.001797,-93.084557
MO,Spickard city,Grundy County,225,40.24316,-93.59224
MO,Springfield city,Greene County,170188,37.194157,-93.292642
MO,St. Ann city,St. Louis County,12658,38.726613,-90.387181
MO,St. Charles city,St. Charles County,71800,38.795702,-90.515364
MO,St. Clair city,Franklin County,4716,38.346595,-90.993561
MO,St. Cloud village,Crawford County,41,38.173189,-91.212759
MO,St. Elizabeth village,Miller County,427,38.256073,-92.266448
MO,St. James city,Phelps County,3903,38.002356,-91.613372
MO,St. John city,St. Louis County,6460,38.714758,-90.346265
MO,St. Joseph city,Buchanan County,70634,39.75946,-94.821143
MO,St. Louis city,St. Louis city,281754,38.635699,-90.244582
MO,St. Martins city,Cole County,1215,38.598322,-92.334372
MO,St. Mary city,Ste. Genevieve County,307,37.873824,-89.949659
MO,St. Paul city,St. Charles County,3622,38.848806,-90.740502
MO,St. Peters city,St. Charles County,59413,38.781565,-90.604168
MO,St. Robert city,Pulaski County,5457,37.825332,-92.151981
MO,St. Thomas town,Cole County,223,38.367049,-92.216002
MO,Stanberry city,Gentry County,1148,40.216583,-94.538093
MO,Stark City town,Newton County,131,36.862873,-94.186342
MO,Ste. Genevieve city,Ste. Genevieve County,5037,37.975019,-90.049982
MO,Steele city,Pemiscot County,1720,36.09479,-89.862102
MO,Steelville city,Crawford County,1443,37.969608,-91.354581
MO,Stella town,Newton County,168,36.762585,-94.191119
MO,Stewartsville city,DeKalb County,734,39.756499,-94.499049
MO,Stockton city,Cedar County,1792,37.696889,-93.795886
MO,Stotesbury town,Vernon County,13,37.975093,-94.565038
