state,county,cbsa_code,cbsa_title,cbsa_population
ID,Boise County,14260,"Boise City, ID",824657
ID,Bonneville County,26820,"Idaho Falls, ID",168322
ID,Butte County,26820,"Idaho Falls, ID",168322
ID,Canyon County,14260,"Boise City, ID",824657
ID,Franklin County,30860,"Logan, UT-ID",157887
ID,Gem County,14260,"Boise City, ID",824657
ID,Jefferson County,26820,"Idaho Falls, ID",168322
ID,Jerome County,46300,"Twin Falls, ID",120635
ID,Kootenai County,17660,"Coeur d'Alene, ID",185010
ID,Nez Perce County,30300,"Lewiston, ID-WA",65536
ID,Owyhee County,14260,"Boise City, ID",824657
ID,Twin Falls County,46300,"Twin Falls, ID",120635
IL,Alexander County,16020,"Cape Girardeau, MO-IL",98223
IL,Bond County,41180,"St. Louis, MO-IL",2796999
IL,Boone County,40420,"Rockford, IL",334124
IL,Calhoun County,41180,"St. Louis, MO-IL",2796999
IL,Champaign County,16580,"Champaign-Urbana, IL",235608
IL,Clinton County,41180,"St. Louis, MO-IL",2796999
IL,Cook County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IL,DeKalb County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IL,DuPage County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IL,Ford County,16580,"Champaign-Urbana, IL",235608
IL,Grundy County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IL,Henry County,19340,"Davenport-Moline-Rock Island, IA-IL",379441
IL,Jersey County,41180,"St. Louis, MO-IL",2796999
IL,Kane County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IL,Kankakee County,28100,"Kankakee, IL",105940
IL,Kendall County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IL,Lake County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IL,Macon County,19500,"Decatur, IL",100591
IL,Macoupin County,41180,"St. Louis, MO-IL",2796999
IL,Madison County,41180,"St. Louis, MO-IL",2796999
IL,Marshall County,37900,"Peoria, IL",362240
IL,Massac County,37140,"Paducah, KY-IL",102267
IL,McHenry County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IL,McLean County,14010,"Bloomington, IL",170441
IL,Menard County,44100,"Springfield, IL",205445
IL,Mercer County,19340,"Davenport-Moline-Rock Island, IA-IL",379441
IL,Monroe County,41180,"St. Louis, MO-IL",2796999
IL,Peoria County,37900,"Peoria, IL",362240
IL,Piatt County,16580,"Champaign-Urbana, IL",235608
IL,Rock Island County,19340,"Davenport-Moline-Rock Island, IA-IL",379441
IL,Sangamon County,44100,"Springfield, IL",205445
IL,St. Clair County,41180,"St. Louis, MO-IL",2796999
IL,Stark County,37900,"Peoria, IL",362240
IL,Tazewell County,37900,"Peoria, IL",362240
IL,Will County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IL,Winnebago County,40420,"Rockford, IL",334124
IL,Woodford County,37900,"Peoria, IL",362240
IN,Allen County,23060,"Fort Wayne, IN",457842
IN,Bartholomew County,18020,"Columbus, IN",84003
IN,Benton County,29200,"Lafayette-West Lafayette, IN",226564
IN,Boone County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,Brown County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,Carroll County,29200,"Lafayette-West Lafayette, IN",226564
IN,Clark County,31140,"Louisville/Jefferson County, KY-IN",1365557
IN,Clay County,45460,"Terre Haute, IN",168787
IN,Dearborn County,17140,"Cincinnati, OH-KY-IN",2271479
IN,Delaware County,34620,"Muncie, IN",112321
IN,Elkhart County,21140,"Elkhart-Goshen, IN",206409
IN,Floyd County,31140,"Louisville/Jefferson County, KY-IN",1365557
IN,Franklin County,17140,"Cincinnati, OH-KY-IN",2271479
IN,Hamilton County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,Hancock County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,Harrison County,31140,"Louisville/Jefferson County, KY-IN",1365557
IN,Hendricks County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,Howard County,29020,"Kokomo, IN",83831
IN,Jasper County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IN,Johnson County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,LaPorte County,33140,"Michigan City-La Porte, IN",111706
IN,Lake County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IN,Madison County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,Marion County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,Monroe County,14020,"Bloomington, IN",160874
IN,Morgan County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,Newton County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IN,Ohio County,17140,"Cincinnati, OH-KY-IN",2271479
IN,Owen County,14020,"Bloomington, IN",160874
IN,Porter County,16980,"Chicago-Naperville-Elgin, IL-IN",9262825
IN,Posey County,21780,"Evansville, IN",270717
IN,Shelby County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,St. Joseph County,43780,"South Bend-Mishawaka, IN-MI",324490
IN,Sullivan County,45460,"Terre Haute, IN",168787
IN,Tippecanoe County,29200,"Lafayette-West Lafayette, IN",226564
IN,Tipton County,26900,"Indianapolis-Carmel-Greenwood, IN",2138468
IN,Vanderburgh County,21780,"Evansville, IN",270717
IN,Vermillion County,45460,"Terre Haute, IN",168787
IN,Vigo County,45460,"Terre Haute, IN",168787
IN,Warren County,29200,"Lafayette-West Lafayette, IN",226564
IN,Warrick County,21780,"Evansville, IN",270717
IN,Washington County,31140,"Louisville/Jefferson County, KY-IN",1365557
IN,Wells County,23060,"Fort Wayne, IN",457842
IN,Whitley County,23060,"Fort Wayne, IN",457842
KS,Butler County,48620,"Wichita, KS",652939
KS,Cherokee County,27900,"Joplin, MO-KS",204787
KS,Doniphan County,41140,"St. Joseph, MO-KS",118475
KS,Douglas County,29940,"Lawrence, KS",120553
KS,Geary County,31740,"Manhattan, KS",132831
KS,Harvey County,48620,"Wichita, KS",652939
KS,Jackson County,45820,"Topeka, KS",232322
KS,Jefferson County,45820,"Topeka, KS",232322
KS,Johnson County,28140,"Kansas City, MO-KS",2221343
KS,Leavenworth County,28140,"Kansas City, MO-KS",2221343
KS,Linn County,28140,"Kansas City, MO-KS",2221343
KS,Miami County,28140,"Kansas City, MO-KS",2221343
KS,Osage County,45820,"Topeka, KS",232322
KS,Pottawatomie County,31740,"Manhattan, KS",132831
KS,Riley County,31740,"Manhattan, KS",132831
KS,Sedgwick County,48620,"Wichita, KS",652939
KS,Shawnee County,45820,"Topeka, KS",232322
KS,Sumner County,48620,"Wichita, KS",652939
KS,Wabaunsee County,45820,"Topeka, KS",232322
KS,Wyandotte County,28140,"Kansas City, MO-KS",2221343
KY,Allen County,14540,"Bowling Green, KY",188840
KY,Ballard County,37140,"Paducah, KY-IL",102267
KY,Boone County,17140,"Cincinnati, OH-KY-IN",2271479
KY,Bourbon County,30460,"Lexington-Fayette, KY",520045
KY,Boyd County,26580,"Huntington-Ashland, WV-KY-OH",368261
KY,Bracken County,17140,"Cincinnati, OH-KY-IN",2271479
KY,Bullitt County,31140,"Louisville/Jefferson County, KY-IN",1365557
KY,Butler County,14540,"Bowling Green, KY",188840
KY,Campbell County,17140,"Cincinnati, OH-KY-IN",2271479
KY,Carlisle County,37140,"Paducah, KY-IL",102267
KY,Carter County,26580,"Huntington-Ashland, WV-KY-OH",368261
KY,Christian County,17300,"Clarksville, TN-KY",340495
KY,Clark County,30460,"Lexington-Fayette, KY",520045
KY,Daviess County,36980,"Owensboro, KY",112512
KY,Edmonson County,14540,"Bowling Green, KY",188840
KY,Fayette County,30460,"Lexington-Fayette, KY",520045
KY,Gallatin County,17140,"Cincinnati, OH-KY-IN",2271479
KY,Grant County,17140,"Cincinnati, OH-KY-IN",2271479
KY,Greenup County,26580,"Huntington-Ashland, WV-KY-OH",368261
KY,Hardin County,21060,"Elizabethtown, KY",127576
KY,Henry County,31140,"Louisville/Jefferson County, KY-IN",1365557
KY,Jefferson County,31140,"Louisville/Jefferson County, KY-IN",1365557
KY,Jessamine County,30460,"Lexington-Fayette, KY",520045
KY,Kenton County,17140,"Cincinnati, OH-KY-IN",2271479
KY,Larue County,21060,"Elizabethtown, KY",127576
KY,Lawrence County,26580,"Huntington-Ashland, WV-KY-OH",368261
KY,Livingston County,37140,"Paducah, KY-IL",102267
KY,McCracken County,37140,"Paducah, KY-IL",102267
KY,McLean County,36980,"Owensboro, KY",112512
KY,Meade County,31140,"Louisville/Jefferson County, KY-IN",1365557
KY,Nelson County,31140,"Louisville/Jefferson County, KY-IN",1365557
KY,Oldham County,31140,"Louisville/Jefferson County, KY-IN",1365557
KY,Pendleton County,17140,"Cincinnati, OH-KY-IN",2271479
KY,Scott County,30460,"Lexington-Fayette, KY",520045
KY,Shelby County,31140,"Louisville/Jefferson County, KY-IN",1365557
KY,Spencer County,31140,"Louisville/Jefferson County, KY-IN",1365557
KY,Trigg County,17300,"Clarksville, TN-KY",340495
KY,Warren County,14540,"Bowling Green, KY",188840
KY,Woodford County,30460,"Lexington-Fayette, KY",520045
LA,Acadia Parish,29180,"Lafayette, LA",414288
LA,Ascension Parish,12940,"Baton Rouge, LA",873661
LA,Assumption Parish,12940,"Baton Rouge, LA",873661
LA,Bossier Parish,43340,"Shreveport-Bossier City, LA",383295
LA,Caddo Parish,43340,"Shreveport-Bossier City, LA",383295
LA,Calcasieu Parish,29340,"Lake Charles, LA",240082
LA,Cameron Parish,29340,"Lake Charles, LA",240082
LA,De Soto Parish,43340,"Shreveport-Bossier City, LA",383295
LA,East Baton Rouge Parish,12940,"Baton Rouge, LA",873661
LA,East Feliciana Parish,12940,"Baton Rouge, LA",873661
LA,Grant Parish,10780,"Alexandria, LA",148171
LA,Iberville Parish,12940,"Baton Rouge, LA",873661
LA,Jefferson Davis Parish,29340,"Lake Charles, LA",240082
LA,Jefferson Parish,35380,"New Orleans-Metairie, LA",962165
LA,Lafayette Parish,29180,"Lafayette, LA",414288
LA,Lafourche Parish,26380,"Houma-Bayou Cane-Thibodaux, LA",198672
LA,Livingston Parish,12940,"Baton Rouge, LA",873661
LA,Morehouse Parish,33740,"Monroe, LA",221885
LA,Orleans Parish,35380,"New Orleans-Metairie, LA",962165
LA,Ouachita Parish,33740,"Monroe, LA",221885
LA,Plaquemines Parish,35380,"New Orleans-Metairie, LA",962165
LA,Pointe Coupee Parish,12940,"Baton Rouge, LA",873661
LA,Rapides Parish,10780,"Alexandria, LA",148171
LA,Richland Parish,33740,"Monroe, LA",221885
LA,St. Bernard Parish,35380,"New Orleans-Metairie, LA",962165
LA,St. Charles Parish,35380,"New Orleans-Metairie, LA",962165
LA,St. Helena Parish,12940,"Baton Rouge, LA",873661
LA,St. James Parish,35380,"New Orleans-Metairie, LA",962165
LA,St. John the Baptist Parish,35380,"New Orleans-Metairie, LA",962165
LA,St. Martin Parish,29180,"Lafayette, LA",414288
LA,St. Tammany Parish,43640,"Slidell-Mandeville-Covington, LA",275583
LA,Tangipahoa Parish,25220,"Hammond, LA",138064
LA,Terrebonne Parish,26380,"Houma-Bayou Cane-Thibodaux, LA",198672
LA,Union Parish,33740,"Monroe, LA",221885
LA,Vermilion Parish,29180,"Lafayette, LA",414288
LA,West Baton Rouge Parish,12940,"Baton Rouge, LA",873661
LA,West Feliciana Parish,12940,"Baton Rouge, LA",873661
MA,Barnstable County,12700,"Barnstable Town, MA",231735
MA,Berkshire County,38340,"Pittsfield, MA",126818
MA,Bristol County,39300,"Providence-Warwick, RI-MA",1677803
MA,Essex County,14460,"Boston-Cambridge-Newton, MA-NH",4919179
MA,Hampden County,44140,"Springfield, MA",460291
MA,Hampshire County,11200,"Amherst Town-Northampton, MA",162502
MA,Middlesex County,14460,"Boston-Cambridge-Newton, MA-NH",4919179
MA,Norfolk County,14460,"Boston-Cambridge-Newton, MA-NH",4919179
MA,Plymouth County,14460,"Boston-Cambridge-Newton, MA-NH",4919179
MA,Suffolk County,14460,"Boston-Cambridge-Newton, MA-NH",4919179
MA,Worcester County,49340,"Worcester, MA",866866
MD,Anne Arundel County,12580,"Baltimore-Columbia-Towson, MD",2834316
MD,Baltimore County,12580,"Baltimore-Columbia-Towson, MD",2834316
MD,Baltimore city,12580,"Baltimore-Columbia-Towson, MD",2834316
MD,Calvert County,30500,"Lexington Park, MD",210009
MD,Carroll County,12580,"Baltimore-Columbia-Towson, MD",2834316
MD,Cecil County,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6246160
MD,Charles County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
MD,Frederick County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
MD,Harford County,12580,"Baltimore-Columbia-Towson, MD",2834316
MD,Howard County,12580,"Baltimore-Columbia-Towson, MD",2834316
MD,Montgomery County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
MD,Prince George's County,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
MD,Queen Anne's County,12580,"Baltimore-Columbia-Towson, MD",2834316
MD,Somerset County,41540,"Salisbury, MD",129710
MD,St. Mary's County,30500,"Lexington Park, MD",210009
MD,Washington County,25180,"Hagerstown-Martinsburg, MD-WV",305902
MD,Wicomico County,41540,"Salisbury, MD",129710
ME,Androscoggin County,30340,"Lewiston-Auburn, ME",113765
ME,Cumberland County,38860,"Portland-South Portland, ME",566329
ME,Penobscot County,12620,"Bangor, ME",155312
ME,Sagadahoc County,38860,"Portland-South Portland, ME",566329
ME,York County,38860,"Portland-South Portland, ME",566329
MI,Barry County,24340,"Grand Rapids-Wyoming-Kentwood, MI",1162950
MI,Bay County,13020,"Bay City, MI",102500
MI,Benzie County,45900,"Traverse City, MI",156371
MI,Berrien County,35660,"Niles, MI",152261
MI,Calhoun County,12980,"Battle Creek, MI",133366
MI,Cass County,43780,"South Bend-Mishawaka, IN-MI",324490
MI,Clinton County,29620,"Lansing-East Lansing, MI",473177
MI,Eaton County,29620,"Lansing-East Lansing, MI",473177
MI,Genesee County,22420,"Flint, MI",401522
MI,Grand Traverse County,45900,"Traverse City, MI",156371
MI,Ingham County,29620,"Lansing-East Lansing, MI",473177
MI,Ionia County,24340,"Grand Rapids-Wyoming-Kentwood, MI",1162950
MI,Jackson County,27100,"Jackson, MI",159424
MI,Kalamazoo County,28020,"Kalamazoo-Portage, MI",262215
MI,Kalkaska County,45900,"Traverse City, MI",156371
MI,Kent County,24340,"Grand Rapids-Wyoming-Kentwood, MI",1162950
MI,Lapeer County,19820,"Detroit-Warren-Dearborn, MI",4342304
MI,Leelanau County,45900,"Traverse City, MI",156371
MI,Livingston County,19820,"Detroit-Warren-Dearborn, MI",4342304
MI,Macomb County,19820,"Detroit-Warren-Dearborn, MI",4342304
MI,Midland County,33220,"Midland, MI",84039
MI,Monroe County,33780,"Monroe, MI",155045
MI,Montcalm County,24340,"Grand Rapids-Wyoming-Kentwood, MI",1162950
MI,Muskegon County,34740,"Muskegon-Norton Shores, MI",176564
MI,Oakland County,19820,"Detroit-Warren-Dearborn, MI",4342304
MI,Ottawa County,24340,"Grand Rapids-Wyoming-Kentwood, MI",1162950
MI,Saginaw County,40980,"Saginaw, MI",187782
MI,St. Clair County,19820,"Detroit-Warren-Dearborn, MI",4342304
MI,Washtenaw County,11460,"Ann Arbor, MI",365536
MI,Wayne County,19820,"Detroit-Warren-Dearborn, MI",4342304
MN,Anoka County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Benton County,41060,"St. Cloud, MN",202577
MN,Blue Earth County,31860,"Mankato, MN",104248
MN,Carlton County,20260,"Duluth, MN-WI",281603
MN,Carver County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Chisago County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Clay County,22020,"Fargo, ND-MN",262620
MN,Dakota County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Dodge County,40340,"Rochester, MN",229077
MN,Fillmore County,40340,"Rochester, MN",229077
MN,Hennepin County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Houston County,29100,"La Crosse-Onalaska, WI-MN",170238
MN,Isanti County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Le Sueur County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Mille Lacs County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Nicollet County,31860,"Mankato, MN",104248
MN,Olmsted County,40340,"Rochester, MN",229077
MN,Polk County,24220,"Grand Forks, ND-MN",103120
MN,Ramsey County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Rock County,43620,"Sioux Falls, SD-MN",304555
MN,Scott County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Sherburne County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,St. Louis County,20260,"Duluth, MN-WI",281603
MN,Stearns County,41060,"St. Cloud, MN",202577
MN,Wabasha County,40340,"Rochester, MN",229077
MN,Washington County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MN,Wright County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020
MO,Andrew County,41140,"St. Joseph, MO-KS",118475
MO,Bates County,28140,"Kansas City, MO-KS",2221343
MO,Bollinger County,16020,"Cape Girardeau, MO-IL",98223
MO,Boone County,17860,"Columbia, MO",216511
MO,Buchanan County,41140,"St. Joseph, MO-KS",118475
MO,Caldwell County,28140,"Kansas City, MO-KS",2221343
MO,Callaway County,27620,"Jefferson City, MO",150733
MO,Cape Girardeau County,16020,"Cape Girardeau, MO-IL",98223
MO,Cass County,28140,"Kansas City, MO-KS",2221343
MO,Christian County,44180,"Springfield, MO",491053
MO,Clay County,28140,"Kansas City, MO-KS",2221343
MO,Clinton County,28140,"Kansas City, MO-KS",2221343
MO,Cole County,27620,"Jefferson City, MO",150733
MO,Cooper County,17860,"Columbia, MO",216511
MO,Dallas County,44180,"Springfield, MO",491053
MO,DeKalb County,41140,"St. Joseph, MO-KS",118475
MO,Franklin County,41180,"St. Louis, MO-IL",2796999
MO,Greene County,44180,"Springfield, MO",491053
MO,Howard County,17860,"Columbia, MO",216511
MO,Jackson County,28140,"Kansas City, MO-KS",2221343
MO,Jasper County,27900,"Joplin, MO-KS",204787
MO,Jefferson County,41180,"St. Louis, MO-IL",2796999
MO,Lafayette County,28140,"Kansas City, MO-KS",2221343
MO,Lincoln County,41180,"St. Louis, MO-IL",2796999
MO,Moniteau County,27620,"Jefferson City, MO",150733
MO,Newton County,27900,"Joplin, MO-KS",204787
MO,Osage County,27620,"Jefferson City, MO",150733
MO,Platte County,28140,"Kansas City, MO-KS",2221343
MO,Polk County,44180,"Springfield, MO",491053
MO,Ray County,28140,"Kansas City, MO-KS",2221343
MO,St. Charles County,41180,"St. Louis, MO-IL",2796999
MO,St. Louis County,41180,"St. Louis, MO-IL",2796999
MO,St. Louis city,41180,"St. Louis, MO-IL",2796999
MO,Warren County,41180,"St. Louis, MO-IL",2796999
MO,Webster County,44180,"Springfield, MO",491053
MS,Benton County,32820,"Memphis, TN-MS-AR",1335674
MS,Copiah County,27140,"Jackson, MS",610257
MS,DeSoto County,32820,"Memphis, TN-MS-AR",1335674
MS,Forrest County,25620,"Hattiesburg, MS",155740
MS,Hancock County,25060,"Gulfport-Biloxi, MS",421916
MS,Harrison County,25060,"Gulfport-Biloxi, MS",421916
MS,Hinds County,27140,"Jackson, MS",610257
MS,Holmes County,27140,"Jackson, MS",610257
MS,Jackson County,25060,"Gulfport-Biloxi, MS",421916
MS,Lamar County,25620,"Hattiesburg, MS",155740
MS,Madison County,27140,"Jackson, MS",610257
MS,Marshall County,32820,"Memphis, TN-MS-AR",1335674
MS,Perry County,25620,"Hattiesburg, MS",155740
MS,Rankin County,27140,"Jackson, MS",610257
MS,Scott County,27140,"Jackson, MS",610257
MS,Simpson County,27140,"Jackson, MS",610257
MS,Stone County,25060,"Gulfport-Biloxi, MS",421916
MS,Tate County,32820,"Memphis, TN-MS-AR",1335674
MS,Tunica County,32820,"Memphis, TN-MS-AR",1335674
MS,Yazoo County,27140,"Jackson, MS",610257
MT,Broadwater County,25740,"Helena, MT",96091
MT,Carbon County,13740,"Billings, MT",191435
MT,Cascade County,24500,"Great Falls, MT",84900
MT,Gallatin County,14580,"Bozeman, MT",126409
MT,Jefferson County,25740,"Helena, MT",96091
MT,Lewis and Clark County,25740,"Helena, MT",96091
MT,Mineral County,33540,"Missoula, MT",126939
MT,Missoula County,33540,"Missoula, MT",126939
MT,Stillwater County,13740,"Billings, MT",191435
MT,Yellowstone County,13740,"Billings, MT",191435
NC,Alamance County,15500,"Burlington, NC",179165
NC,Alexander County,25860,"Hickory-Lenoir-Morganton, NC",370030
NC,Anson County,16740,"Charlotte-Concord-Gastonia, NC-SC",2805115
NC,Brunswick County,48900,"Wilmington, NC",467337
NC,Buncombe County,11700,"Asheville, NC",417202
NC,Burke County,25860,"Hickory-Lenoir-Morganton, NC",370030
NC,Cabarrus County,16740,"Charlotte-Concord-Gastonia, NC-SC",2805115
NC,Caldwell County,25860,"Hickory-Lenoir-Morganton, NC",370030
NC,Camden County,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
NC,Catawba County,25860,"Hickory-Lenoir-Morganton, NC",370030
NC,Chatham County,20500,"Durham-Chapel Hill, NC",608879
NC,Cumberland County,22180,"Fayetteville, NC",392336
NC,Currituck County,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
NC,Davidson County,49180,"Winston-Salem, NC",695630
NC,Davie County,49180,"Winston-Salem, NC",695630
NC,Durham County,20500,"Durham-Chapel Hill, NC",608879
NC,Edgecombe County,40580,"Rocky Mount, NC",145383
NC,Forsyth County,49180,"Winston-Salem, NC",695630
NC,Franklin County,39580,"Raleigh-Cary, NC",1509231
NC,Gaston County,16740,"Charlotte-Concord-Gastonia, NC-SC",2805115
NC,Gates County,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169
NC,Guilford County,24660,"Greensboro-High Point, NC",789842
NC,Henderson County,11700,"Asheville, NC",417202
NC,Hoke County,22180,"Fayetteville, NC",392336
NC,Iredell County,16740,"Charlotte-Concord-Gastonia, NC-SC",2805115
NC,Johnston County,39580,"Raleigh-Cary, NC",1509231
NC,Lincoln County,16740,"Charlotte-Concord-Gastonia, NC-SC",2805115
NC,Madison County,11700,"Asheville, NC",417202
NC,Mecklenburg County,16740,"Charlotte-Concord-Gastonia, NC-SC",2805115
NC,Moore County,38240,"Pinehurst-Southern Pines, NC",106898
NC,Nash County,40580,"Rocky Mount, NC",145383
NC,New Hanover County,48900,"Wilmington, NC",467337
NC,Onslow County,27340,"Jacksonville, NC",213676
NC,Orange County,20500,"Durham-Chapel Hill, NC",608879
NC,Pender County,48900,"Wilmington, NC",467337
NC,Person County,20500,"Durham-Chapel Hill, NC",608879
NC,Pitt County,24780,"Greenville, NC",175119
NC,Randolph County,24660,"Greensboro-High Point, NC",789842
NC,Rockingham County,24660,"Greensboro-High Point, NC",789842
NC,Rowan County,16740,"Charlotte-Concord-Gastonia, NC-SC",2805115
NC,Stokes County,49180,"Winston-Salem, NC",695630
NC,Union County,16740,"Charlotte-Concord-Gastonia, NC-SC",2805115
NC,Wake County,39580,"Raleigh-Cary, NC",1509231
NC,Wayne County,24140,"Goldsboro, NC",118686
NC,Yadkin County,49180,"Winston-Salem, NC",695630
ND,Burleigh County,13900,"Bismarck, ND",135786
ND,Cass County,22020,"Fargo, ND-MN",262620
ND,Grand Forks County,24220,"Grand Forks, ND-MN",103120
ND,McHenry County,33500,"Minot, ND",75742
ND,Morton County,13900,"Bismarck, ND",135786
ND,Oliver County,13900,"Bismarck, ND",135786
ND,Renville County,33500,"Minot, ND",75742
ND,Ward County,33500,"Minot, ND",75742
NE,Cass County,36540,"Omaha, NE-IA",983969
NE,Dakota County,43580,"Sioux City, IA-NE-SD",144402
NE,Douglas County,36540,"Omaha, NE-IA",983969
NE,Hall County,24260,"Grand Island, NE",76479
NE,Howard County,24260,"Grand Island, NE",76479
NE,Lancaster County,30700,"Lincoln, NE",344387
NE,Merrick County,24260,"Grand Island, NE",76479
NE,Sarpy County,36540,"Omaha, NE-IA",983969
NE,Saunders County,36540,"Omaha, NE-IA",983969
NE,Seward County,30700,"Lincoln, NE",344387
NE,Washington County,36540,"Omaha, NE-IA",983969
NH,Hillsborough County,31700,"Manchester-Nashua, NH",427354
NH,Rockingham County,14460,"Boston-Cambridge-Newton, MA-NH",4919179
NH,Strafford County,14460,"Boston-Cambridge-Newton, MA-NH",4919179
NJ,Atlantic County,12100,"Atlantic City-Hammonton, NJ",369823
NJ,Bergen County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Burlington County,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6246160
NJ,Camden County,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6246160
NJ,Cape May County,12100,"Atlantic City-Hammonton, NJ",369823
NJ,Cumberland County,47220,"Vineland, NJ",152326
NJ,Essex County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Gloucester County,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6246160
NJ,Hudson County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Hunterdon County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Mercer County,45940,"Trenton-Princeton, NJ",381671
NJ,Middlesex County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Monmouth County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Morris County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Ocean County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Passaic County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Salem County,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6246160
NJ,Somerset County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Sussex County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Union County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NJ,Warren County,10900,"Allentown-Bethlehem-Easton, PA-NJ",873555
NM,Bernalillo County,10740,"Albuquerque, NM",922296
NM,Doña Ana County,29740,"Las Cruces, NM",225210
NM,San Juan County,22140,"Farmington, NM",120675
NM,Sandoval County,10740,"Albuquerque, NM",922296
NM,Santa Fe County,42140,"Santa Fe, NM",155956
NM,Torrance County,10740,"Albuquerque, NM",922296
NM,Valencia County,10740,"Albuquerque, NM",922296
NV,Carson City,16180,"Carson City, NV",58036
NV,Clark County,29820,"Las Vegas-Henderson-North Las Vegas, NV",2336573
NV,Lyon County,39900,"Reno, NV",564782
NV,Storey County,39900,"Reno, NV",564782
NV,Washoe County,39900,"Reno, NV",564782
NY,Albany County,10580,"Albany-Schenectady-Troy, NY",904682
NY,Bronx County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NY,Broome County,13780,"Binghamton, NY",243792
NY,Chemung County,21300,"Elmira, NY",81325
NY,Dutchess County,28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",704620
NY,Erie County,15380,"Buffalo-Cheektowaga, NY",1155604
NY,Herkimer County,46540,"Utica-Rome, NY",287039
NY,Jefferson County,48060,"Watertown-Fort Drum, NY",114787
NY,Kings County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
NY,Livingston County,40380,"Rochester, NY",1052087
NY,Madison County,45060,"Syracuse, NY",652956
NY,Monroe County,40380,"Rochester, NY",1052087
NY,Nassau County,35620,"New York-Newark-Jersey City, NY-NJ",19498249
