name,latitude,longitude,tenant,kind,shown_in_map,description
"Harlingen, TX",26.1906,-97.6961,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Austin, TX",30.2672,-97.7431,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Reno, NV",39.5296,-119.8138,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Minneapolis, MN",44.9778,-93.265,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Des Moines, IA",41.5868,-93.6091,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Davenport, IA",41.5236,-90.5776,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Omaha, NE",41.2565,-95.9345,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Kansas City, MO",39.0997,-94.5786,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"St. Louis, MO",38.627,-90.1994,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Tulsa, OK",36.154,-95.9928,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Oklahoma City, OK",35.4676,-97.5164,Lumen,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Stratford, TX",36.3361,-102.0721,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Houston, TX",29.7604,-95.3698,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Birmingham, AL",33.5186,-86.8025,Lumen,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Billingsley, AL",32.6601,-86.7114,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Memphis, TN",35.1495,-90.049,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Chicago, IL",41.8781,-87.6298,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Indianapolis, IN",39.7684,-86.1581,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Nashville, TN",36.1627,-86.7816,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Madison, WI",43.0731,-89.4012,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Milwaukee, WI",43.0389,-87.9065,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Jacksonville, FL",30.3322,-81.6557,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Tallahassee, FL",30.4383,-84.2807,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Orlando, FL",28.5383,-81.3792,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Miami, FL",25.7617,-80.1918,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Tampa, FL",27.9506,-82.4572,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Fort Meyers, FL",26.6406,-81.8723,Lumen,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Atlanta, GA",33.749,-84.388,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Augusta, GA",33.4735,-81.9748,Lumen,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Charlotte, NC",35.2271,-80.8431,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Richmond, VA",37.5407,-77.436,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Norfolk, VA",36.8508,-76.2859,Lumen,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Raleigh, NC",35.7796,-78.6382,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Cleveland, OH",41.4993,-81.6944,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Akron, OH",41.0814,-81.519,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Detroit, MI",42.3314,-83.0458,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Toledo, OH",41.6528,-83.5552,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Cincinnati, OH",39.1031,-84.512,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Columbus, OH",39.9612,-82.9988,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Buffalo, NY",42.8864,-78.8784,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Pittsburgh, PA",40.4406,-79.9959,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Albany, NY",42.6526,-73.7562,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Newark, NJ",40.7357,-74.1724,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Dallas, TX",32.7767,-96.797,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Wichita, KS",37.6872,-97.3301,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Herndon, VA",38.9696,-77.3861,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Cambridge, MA",42.3736,-71.1097,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Hayward, CA",37.6688,-122.0808,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Emeryville, CA",37.8313,-122.2852,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
"Goodyear, AZ",33.4353,-112.3582,Lumen,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.
CUI West Region,45.8396,-119.7006,AWS,CSP data center,Shown in map,"Region: CUI West Region
Location: Boardman, OR"
CUI East Region,39.9612,-82.9988,AWS,CSP data center,Shown in map,"Region: CUI East Region
Location: Columbus, OH"
Top Secret East Region,38.9696,-77.3861,AWS,CSP data center,Shown in map,"Region: Top Secret East Region
Location: Herndon, VA"
Top Secret West Region,39.7392,-104.9903,AWS,CSP data center,Shown in map,"Region: Top Secret West Region
Location: Denver, CO"
"Norfolk, VA",36.8508,-76.2859,AFLCMC,Military installation,Shown in map,State: Virginia
Cannon AFB,34.3828,-103.3222,AFLCMC,Military installation,Shown in map,State: New Mexico
Corpus Christi Army Depot,27.6936,-97.2911,AFLCMC,Military installation,Shown in map,State: Texas
Hurlburt Field,30.4279,-86.6889,AFLCMC,Military installation,Shown in map,State: Florida
Joint Base Andrews,38.8108,-76.867,AFLCMC,Military installation,Shown in map,State: Maryland
Joint Base San Antonio,29.4595,-98.436,AFLCMC,Military installation,Shown in map,State: Texas
Maxwell AFB,32.379,-86.366,AFLCMC,Military installation,Shown in map,State: Alabama
Redstone Arsenal,34.6856,-86.6486,AFLCMC,Military installation,Shown in map,State: Alabama
Robins AFB,32.64,-83.5919,AFLCMC,Military installation,Shown in map,State: Georgia
Tinker AFB,35.4147,-97.3866,AFLCMC,Military installation,Shown in map,State: Oklahoma
Wright-Patterson AFB,39.8261,-84.0488,AFLCMC,Military installation,Shown in map,State: Ohio
Williston,48.147,-103.618,DCN,ROADM,Not shown in map,
Ray,48.341,-103.166,DCN,ROADM,Not shown in map,
Stanley,48.317,-102.388,DCN,ROADM,Not shown in map,
"Minot, ND",48.232,-101.296,DCN,ROADM,Not shown in map,
Alexander,47.838,-103.642,DCN,ROADM,Not shown in map,
Parshall,47.952,-102.135,DCN,ROADM,Not shown in map,
Max,47.815,-101.298,DCN,ROADM,Not shown in map,
Bismarck,46.808,-100.784,DCN,ROADM,Not shown in map,
Steele,46.857,-99.916,DCN,ROADM,Not shown in map,
Dickinson,46.879,-102.789,DCN,ROADM,Not shown in map,
Beach,46.918,-104.001,DCN,ROADM,Not shown in map,
Rugby,48.369,-99.996,DCN,ROADM,Not shown in map,
Devils Lake,48.113,-98.865,DCN,ROADM,Not shown in map,
Carrington,47.449,-99.126,DCN,ROADM,Not shown in map,
Jamestown,46.910,-98.708,DCN,ROADM,Not shown in map,
Marion Jct.,46.611,-98.343,DCN,ROADM,Not shown in map,
Gwinner,46.218,-97.661,DCN,ROADM,Not shown in map,
Abercrombie,46.448,-96.728,DCN,ROADM,Not shown in map,
Buffalo,46.917,-97.547,DCN,ROADM,Not shown in map,
Fargo,46.877,-96.789,DCN,ROADM,Not shown in map,
Grand Forks,47.925,-97.032,DCN,ROADM,Not shown in map,
Kalispell,48.196,-114.314,VisionNet,ROADM,Not shown in map,
"Great Falls, MT",47.507,-111.300,VisionNet,ROADM,Not shown in map,
Helena,46.589,-112.039,VisionNet,ROADM,Not shown in map,
Havre,48.550,-109.684,VisionNet,ROADM,Not shown in map,
Bozeman,45.677,-111.043,VisionNet,ROADM,Not shown in map,
Billings,45.787,-108.500,VisionNet,ROADM,Not shown in map,
Miles City,46.408,-105.840,VisionNet,ROADM,Not shown in map,
